SuperClass,Class,SubClass,Metabolite,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Thiamine,32228.31516,4253.283389,78285.01198,3.22E-05,19780.15037,15483.04603,19273.8703,25806.63846,37638.97575,22698.15304,182256.7758,7668.059373,27756.01998,29242.68962,242866.8232,46561.29041,104118.283,64276.20529,216976.7156,52881.59728,132451.4325,30675.55952,58779.25905,7520.127891,18720.16599,1533.974171,96146.24279,72555.95831,75697.30904,48303.29837,148000.1203,34822.69489,94213.39121,29457.65612,120773.2565,25994.96257,7138.503292,56859.4421
Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Cytosine,10746.85931,224025.9714,382759.1175,12385.28242,51444.75994,6984.595871,7736.913975,7032.811776,1939.269674,13009.61052,35724.89631,624.3698388,10517.92637,34690.50471,56997.41014,19674.67438,16544.70664,9604.861017,41927.81125,16634.00837,8187.435307,7829.288291,49072.22511,85583.82404,304997.9068,1701.494746,5390.906378,46444.81006,51464.32533,21957.69858,31375.40604,19716.30613,728675.7704,31783.58819,26888.72126,10022.8838,12112.55064,27826.05374
Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Butyric_Acid,78275658.59,77815427.12,123464493.7,10152304.31,34790877.63,71302929.09,14301919.04,21830589.45,31104221.74,45248720.28,25027733.71,475905.0266,106653158.5,99072184.79,164874426.7,16898982.47,7746550.629,8067453.061,16149273.4,399119.4664,447172.1253,15598217.2,97565184.28,24468427.85,735625.3617,2279460.876,185099351.2,38246723.76,32483820.72,61148996.4,60993902.97,8368838.676,244724635.8,66397373.68,96428890.3,27619405.83,37007503.49,72261675.02
Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Itaconic_Acid,71125.83728,0,3343832.289,5129.146668,5796.069265,0,1844600.485,1662256.144,347020.0295,987443.2964,3899629.702,19941.04502,188888932.5,188637234.1,698302.287,1496.271812,13114.367,106711.9049,17189.4412,2378.789336,2175.440877,0,163.2217199,27314.68702,10745.27909,150289.6212,10533.60582,183461.6109,2503481.466,82898.95408,22164.32752,0,7990330.279,21014986.29,132023.3272,0.376339709,95.87622585,236.7049587
Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Hexanoate_N_C6:0,0,0,7910.524585,2080.89749,0,0,0,0,129137.3347,3974.877602,94313.44585,411478.6383,0,0,0,0,0,0,0,0,0,0,49557.47566,3475.226783,0,0,246180.0797,153372.2905,0,0,0,0,0,0,0,0,0,0
Lipids and lipid-like molecules,Fatty Acyls,Lipids and lipid-like molecules,Dodecanoic_Acid,25957.92092,14178.16647,536.8392865,7.34185371,48568.44683,24750.93189,80472.99712,82394.7017,26675.68179,108214.2823,434026.8488,56350.72323,268333.1554,3390563.095,15632.45883,15088.73918,12818.60794,244.6443419,55719.0354,294158.6772,3754.784986,54454.85234,134564.0069,73202.18931,0,0,113128.9759,132967.5146,142634.1626,505218.0163,97621.0678,163886.5871,0,0,407595.4785,61123.86426,111091.4315,411999.3826
Homogeneous metal compounds,Homogeneous metal compounds,NA,Potassium,0.08729329566,5147.059678,0.08115577465,0.08789474274,0.1130507429,578.2945782,0.08499955089,0.08499955089,0.07416970821,0.07766270787,0.0860205093,0.08917234299,0.09488719436,0.09472909435,0.2556697344,0.08975235388,0.08619117888,0.08766623511,0.08782122768,0.1006428675,0.08275485855,0.09363553113,0.09012537913,0.09131971971,0.08812649487,0.09606978699,0.09301180406,0.08291555935,0.07680585463,0.07834218771,0.08749074127,0.07098616186,0.1027191236,0.1031333141,0.08054413739,0.0681854125,0.06818541235,0.07679683706
Homogeneous metal compounds,Homogeneous metal compounds,NA,Mg2,0.08729329566,13710.85961,0.08115577465,0.08789474274,0.1130507429,22.62790459,0.08499955089,0.08499955089,0.07416970821,0.07766270787,0.0860205093,0.08917234299,0.09488719436,0.09472909435,0.2556697344,0.08975235388,0.08619117888,0.08766623511,0.08782122768,0.1006428675,0.08275485855,0.09363553113,0.09012537913,0.09131971971,0.08812649487,0.09606978699,0.09301180406,0.08291555935,0.07680585463,0.07834218771,0.08749074127,0.07098616186,0.1027191236,0.1031333141,0.08054413739,0.0681854125,0.06818541235,0.07679683706
Homogeneous metal compounds,Homogeneous metal compounds,NA,Calcium,0.08729332124,0.08729332124,801.5060733,107.5660012,0.1130507662,0.1051713235,0.08499957996,6436.737493,0.07416970032,0.07766268989,0.0860205191,0.08917236435,0.09488730067,0.09472914829,0.2556699459,0.0897525096,0.08619121519,0.08766623228,0.08782117165,0.1006430075,0.08275491148,0.09363563526,0.09012541741,0.09131964772,0.08812645535,0.09606978553,0.09301171754,0.08291555446,0.07680585481,0.07834210944,0.08749062801,0.07098611099,0.1027191035,0.1031334473,0.08054417129,0.0681854824,0.06818551302,0.07679693576
Homogeneous metal compounds,Homogeneous metal compounds,Transition Metal,Cu2,0.08729329566,0.08729329566,0.08115577465,0.08789474274,0.1130507429,0.1051712684,0.08499955089,0.05835814395,0.07416970821,0.07766270787,0.0860205093,0.08917234299,0.09488719436,0.09472909435,0.2556697344,0.08975235388,0.08619117888,0.08766623511,0.08782122768,0.1006428675,0.08275485855,0.09363553113,0.09012537913,0.09131971971,0.08812649487,0.09606978699,0.09301180406,0.08291555935,0.07680585463,0.07834218771,0.08749074127,0.07098616186,0.1027191236,0.1031333141,0.08054413739,0.0681854125,0.06818541235,0.07679683706
Homogeneous metal compounds,Homogeneous metal compounds,Transition Metal,Cobalt,0.08729329563,15817.70747,0.08115577469,0.08789474282,0.1130507428,37514.78259,0.08499955086,0.08499955086,0.07416970828,0.07766270785,0.08602050932,0.08917234303,0.09488719438,0.09472909439,0.2556697346,0.08975235416,0.08619117893,0.08766623518,0.08782122766,0.1006428675,0.08275485846,0.09363553114,0.09012537911,0.09131971975,0.08812649487,0.096069787,0.09301180415,0.08291555935,0.0768058547,0.07834218774,0.08749074119,0.07098616183,0.1027191238,0.1031333142,0.08054413746,0.06818541242,0.06818541242,0.07679696671
Homogeneous metal compounds,Homogeneous metal compounds,Transition Metal,Fe2,1245.486507,1562.006482,4895.301186,20.92628406,3424.346056,1653.43855,2649.238223,2120.827129,896.9500701,1870.078897,4599.995693,194.9376578,5049.094414,5423.85515,8939.489861,2989.093289,3562.405735,1156.522933,2845.829914,685.2840903,1906.867982,1122.090585,7184.483901,293.1623956,223.7019043,550.8293246,6030.648491,950.5630182,3429.131372,1226.205161,4471.635151,865.0772571,5977.428232,7164.291159,3970.01112,859.0818949,1017.700274,3092.017271
Homogeneous metal compounds,Homogeneous metal compounds,NA,Mn2,0.08729329566,0.08729329566,0.08115577465,0.08789474274,0.1130507429,0.1051712684,0.08499955089,0.08499955089,0.07416970821,0.07766270787,0.0860205093,0.08917234299,0.09488719436,0.09472909435,0.2556697344,0.08975235388,0.08619117888,0.08766623511,0.08782123455,0.1006428675,0.08275485855,0.09363553113,0.09012537913,0.09131971971,0.08812649487,0.09606978699,0.09301180406,0.08291555935,0.07680585463,0.07834218771,0.08749074127,0.07098616186,0.1027191236,0.1031333141,0.08054413739,0.0681854125,0.06818541235,0.07679683706
Homogeneous metal compounds,Homogeneous metal compounds,NA,Zn2_,0.08729329565,0.08729329565,0.08115577472,0.08789474283,0.1130507427,0.1051712685,0.08499955087,0.08499955087,0.07416970826,0.07766270784,0.08602050932,0.08917234305,0.09488733662,0.09472916552,0.2556697347,0.0897523541,0.08619117891,0.08766623517,1.2507902,0.1006428675,0.08275485841,0.09363553118,0.09012537912,0.0913196396,0.08812649488,0.09606973141,0.09301180421,0.08291555938,0.07680585473,0.07834218777,0.08749074122,0.07098616186,0.1027191239,0.1031333141,0.08054413748,0.06818541243,0.0681854125,0.0767968371
Homogeneous metal compounds,Homogeneous metal compounds,Transition Metal,Fe3,5384.374515,6399.483504,16687.06042,342.3327746,9837.910064,7474.447109,6913.380632,5762.743318,5119.637187,6322.615301,18099.25129,2566.509047,15544.1345,17605.88138,44422.49703,12456.47873,14149.61006,3999.42185,8626.004884,3041.019973,2597.423257,3757.138485,18666.34282,1220.354294,723.3995508,1187.67257,16082.55861,3954.340693,12413.71509,4548.74963,17807.20703,3086.769766,23063.55242,26263.6231,17826.1186,3019.829824,3490.866174,7189.976675
Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,Chrloride_Ion,0.08729329566,623948.3355,0.08115577465,0.08789474274,0.1130507429,0.1051712684,0.08499955089,0.08499955089,0.07416970821,0.07766270787,0.0860205093,0.08917234299,0.09488719436,0.09472909435,0.2556697344,0.08975235388,0.08619117888,0.08766623511,0.08782122768,0.1006428675,0.08275485855,0.09363553113,0.09012537913,0.09131971971,0.08812649487,0.09606978699,0.09301180406,0.08291555935,0.07680585463,0.07834218771,0.08749074127,0.07098616186,0.1027191236,0.1031333141,0.08054413739,0.0681854125,0.06818541235,0.07679683706
