Metabolites,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
Chrloride_Ion,0.00005320698363,380.308804,0.0000532065058,0.00005320729718,0.00005320737743,0.00005320688506,0.00007749505164,0.00005320514385,0.00004070168444,0.00005320706289,0.00005320665228,0.00005320659661,0.00005320737394,0.00005320738395,0.00005320596111,0.00005320641435,0.00005320645669,0.00005320762461,0.00006842387087,0.00005320566146,0.00005320717751,0.00005320598393,0.00005320743455,0.00005320735557,0.00005320654151,0.00005320726075,0.00005320718911,0.00005320664973,0.00005320670808,0.00005320697098,0.00005320739815,0.00005320734542,0.00005320738847,0.00005320729281,0.00005320526729,0.00005320877389,0.00005320877329,0.0000532062765
Glycerol,1178.910469,677.0994893,3532.606072,100.7065588,1652.533046,736.5158721,2693.472373,1802.993707,1924.54206,2462.535476,3226.842637,342.8523382,2094.971209,1932.083306,3637.970292,2570.506523,2847.951285,875.5135013,4943.180562,1030.42294,1073.873404,1546.70406,3906.166199,350.7302726,2637.420189,16.21503297,3338.210645,2150.930863,3972.99283,1754.853987,3382.371107,859.7331206,1774.389604,1625.960295,4134.802783,761.1203443,796.7254657,1826.318006
D_Ribose,1.815055849,6.183352528,11.80684635,0.0004334914126,0.2215669607,3.894048655,4.143817929,2.273688304,0.154713768,76.19081701,40.02238017,1.589502304,0.8908509506,1.608976588,33.27465244,6.072495265,13.47532792,23.34414683,7.904531509,13.01476616,0.635367411,3.970540347,21.09251885,6.745237839,0.01388468885,0.04765391167,0.5549789472,0.755555833,51.35035037,1.436074482,55.57555636,0.2252033745,17.75346049,3.357247644,31.57684446,41.28021653,5.716565209,14.90696946
Fumaric_Acid,13.30179183,10.0555869,91.04356699,173.2648896,78.78640958,18.63256208,15.6432884,9.601743315,534.0543749,500.7278369,416.8539018,168.2087162,130.4282298,128.166891,3674.1347,2.979745797,365.4359177,162.9318013,579.0397366,10.32577581,2.348331061,3.493955753,20.55849048,6.792724504,0.9634633426,1.062613246,28.38168154,21.63245415,119.7913966,1.693325285,2453.560763,49.82991467,11.70197376,13.30179436,6.075748282,31.50300886,57.76804086,17.35094438
L_Leucine,6.371319623,63.64875815,3.566610121,3.211809338,2.134676712,2.345726341,5.092285319,5.022037682,8.098040121,3.747065105,82.32851308,1.669316382,19.5668016,39.99049023,78.37390738,70.49139262,33.5016836,1.074369994,12.34708109,21.73439064,1.954590109,1.463910316,39.81603885,3.701486261,0.1622994158,0.2004172757,104.5802643,1.927830943,7.349605026,5.605054427,6.414708776,5.720672456,19.63233113,9.183717811,32.32112378,16.27567215,0.4437978133,1.572332623
D_Galactose,330.3238594,175.3498523,775.4187415,50.72711408,445.3904123,373.5974436,425.8887871,287.5030746,327.04696,648.5247637,894.1504441,73.52734758,425.3095478,416.8146137,1096.167567,645.5428914,1099.480975,245.0836933,1314.304152,429.5996202,349.546516,239.4395398,995.5352042,113.9380861,6.395354355,5.107601686,825.8647469,412.0718856,1194.526332,542.6685786,1098.831708,282.5483714,396.9592603,353.0292856,1163.371011,335.6489603,345.454292,547.9235645
D_Alanine,0,0,0.002748072497,0.01702739396,0.006727760169,62.30022064,0,0,0,0,0,0,0,0,0,0,0.0003323396101,0,0,0,2418.546265,0,0,0,0,0,0,0,0.00001421248394,0,0,0,0,0,0.000002310984758,0,0,0
Putrescine,12.97264561,527.3659299,1138.13836,0.74403192,212.3045317,754.8580316,0.0003525852249,12.96596433,5.324236872,117.65814,294.5422954,121.8314186,0.003093471447,0.1792689153,373.8765035,248.2135868,7054.909612,446.0632085,879.4985626,44.74914852,0.291287214,0.2245443089,2790.487474,529.8259002,0,0,52.07382853,318.077771,1003.146214,104.8196808,9301.919461,345.3899265,0.1092330341,0.2779192243,894.8682509,269.892551,1328.287413,25.57756682
L_Histidine,3297.610219,4021.945467,1301.661649,11.9078567,557.5839789,20.30394703,3840.918763,2789.189744,946.3649697,1022.901476,2421.666382,115.9166864,4852.44684,5202.049249,669.7761462,1182.507123,1569.680667,263.8978189,985.5147528,1296.913069,332.0684723,427.0640558,4769.50323,1170.734261,253.012914,126.6545242,2498.914966,1684.853917,492.0554054,1312.641137,2285.370271,856.8600079,879.213916,3501.900804,3751.037138,677.0710408,559.8920475,637.501687
Myo_Inositol,750.0427573,36.12089405,10.41862554,0.7269236638,23.21964233,291.2328343,2332.680581,683.802938,238.392661,249.6585036,1105.828374,2.027397515,993.9793256,150.8257636,3.83167973,18.34332699,86.88701977,0.4274169605,7.267312297,0.01528841124,4.272702826,6.204784466,15.30556892,0.0002098930769,4.461930463,109.6976009,11.5367865,46.5403876,132.8988099,5.110580326,79.783222,15.70397188,139.6740078,657.0309434,261.4875141,104.8142424,19.17272426,7.534781316
