Metabolite	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
4oh_vcz_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_vcz_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4ohmdz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ohmdz[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4ohmdz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5asa[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5asa[fe]	2000	2000	2000	2000	1425.605914	2000	0	2000	2000	2000	0	2000	1961.830601	2000	2000	2000	0	64.38317127	1605.538395
5asa[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000
5fura[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5fura[fe]	2000	2000	2000	2385.493129	2000	2000	4000	2000	2000	2000	2609.438909	2000	2109.986554	2000	2000	2000	0	2000	4000
5fura[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000
5htrp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5htrp[fe]	2000	2000	2000	0	1925.984033	2000	0	0	0	2000	0	2000	1961.830601	2000	2000	0	2000	2000	0
5htrp[u]	2000	2000	2000	0	2000	2000	0	0	0	2000	0	2000	2000	2000	2000	0	2000	2000	0
5mta[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5mta[fe]	2000	2000	2000	1695.13394	350.4345045	2000	820.4834559	2000	2000	2000	1960.388437	2000	2000	2000	2000	2000	0	2000.071219	1064.510032
5mta[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000
